C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2011.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17552
C05 HEADER LINES: 32
C06 DATA VERSION: 201312
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.7
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT
C19 COVERING PERIOD: 2011-01-01 2011-12-31
C20 TIME INTERVAL: 30 minutes
C21 MEASUREMENT UNIT: deg m/s % hPa Celsius 
C22
C23
C24 TIME ZONE: Local time UTC+1
C25
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:  
C31
DATE  TIME    WD    WS    RH     AP    AT
2011-01-04 23:45 -99.9 -99.9  93.4  786.5  -9.2 
2011-01-05 00:15 -99.9 -99.9  93.1  786.5  -9.3 
2011-01-05 00:45 -99.9 -99.9  93.0  786.3  -9.2 
2011-01-05 01:15 -99.9 -99.9  93.0  786.2  -9.3 
2011-01-05 01:45 -99.9 -99.9  93.0  786.1  -9.3 
2011-01-05 02:15 -99.9 -99.9  93.9  786.2  -9.2 
2011-01-05 02:45 -99.9 -99.9  94.0  786.3  -8.9 
2011-01-05 03:15 -99.9 -99.9  94.0  786.2  -8.8 
2011-01-05 03:45 -99.9 -99.9  94.0  786.0  -8.7 
2011-01-05 04:15 -99.9 -99.9  94.0  785.9  -8.7 
2011-01-05 04:45 -99.9 -99.9  94.4  785.7  -8.6 
2011-01-05 05:15 -99.9 -99.9  94.9  785.7  -8.4 
2011-01-05 05:45 -99.9 -99.9  94.9  785.7  -8.2 
2011-01-05 06:15 -99.9 -99.9  94.5  785.7  -8.2 
2011-01-05 06:45 -99.9 -99.9  94.0  785.8  -8.3 
2011-01-05 07:15 -99.9 -99.9  94.9  786.1  -8.2 
2011-01-05 07:45 -99.9 -99.9  95.0  786.2  -8.0 
2011-01-05 08:15 -99.9 -99.9  94.7  786.3  -8.0 
2011-01-05 08:45 -99.9 -99.9  94.9  786.5  -8.1 
2011-01-05 09:15 -99.9 -99.9  95.0  786.6  -8.1 
2011-01-05 09:45 -99.9 -99.9  95.3  786.8  -7.9 
2011-01-05 10:15 -99.9 -99.9  95.6  786.9  -7.7 
2011-01-05 10:45 -99.9 -99.9  96.0  786.9  -7.4 
2011-01-05 11:15 -99.9 -99.9  96.0  786.7  -7.3 
2011-01-05 11:45 -99.9 -99.9  96.0  786.6  -7.2 
2011-01-05 12:15 -99.9 -99.9  96.0  786.5  -7.1 
2011-01-05 12:45 -99.9 -99.9  95.9  786.3  -7.0 
2011-01-05 13:15 -99.9 -99.9  95.7  786.1  -7.1 
2011-01-05 13:45 -99.9 -99.9  95.6  785.9  -7.2 
2011-01-05 14:15 -99.9 -99.9  95.0  785.7  -7.3 
2011-01-05 14:45 -99.9 -99.9  95.1  785.9  -7.4 
2011-01-05 15:15 -99.9 -99.9  95.3  786.1  -7.4 
2011-01-05 15:45 -99.9 -99.9  95.0  786.1  -7.4 
2011-01-05 16:15 -99.9 -99.9  95.0  786.3  -7.5 
2011-01-05 16:45 -99.9 -99.9  94.7  786.4  -7.6 
2011-01-05 17:15 -99.9 -99.9  95.0  786.6  -7.7 
2011-01-05 17:45 -99.9 -99.9  94.9  786.8  -7.8 
2011-01-05 18:15 -99.9 -99.9  95.0  787.0  -7.8 
2011-01-05 18:45 -99.9 -99.9  95.1  787.2  -7.6 
2011-01-05 19:15 -99.9 -99.9  95.2  787.3  -7.5 
2011-01-05 19:45 -99.9 -99.9  96.0  787.5  -7.3 
2011-01-05 20:15 -99.9 -99.9  96.5  787.3  -7.0 
2011-01-05 20:45 -99.9 -99.9  97.0  787.2  -6.6 
2011-01-05 21:15 -99.9 -99.9  97.9  787.2  -6.2 
2011-01-05 21:45 -99.9 -99.9  98.0  787.4  -5.8 
2011-01-05 22:15 -99.9 -99.9  98.0  787.5  -5.6 
2011-01-05 22:45 -99.9 -99.9  98.0  787.6  -5.5 
2011-01-05 23:15 -99.9 -99.9  98.0  787.6  -5.5 
2011-01-05 23:45 -99.9 -99.9  98.0  787.7  -5.4 
2011-01-06 00:15 -99.9 -99.9  98.0  787.8  -5.2 
2011-01-06 00:45 -99.9 -99.9  98.0  787.8  -5.0 
2011-01-06 01:15 -99.9 -99.9  98.0  787.6  -4.9 
2011-01-06 01:45 -99.9 -99.9  98.3  787.3  -4.9 
2011-01-06 02:15 -99.9 -99.9  99.0  787.5  -4.6 
2011-01-06 02:45 -99.9 -99.9  99.0  787.5  -4.3 
2011-01-06 03:15 -99.9 -99.9  99.0  787.4  -4.2 
2011-01-06 03:45 -99.9 -99.9  99.0  787.0  -4.1 
2011-01-06 04:15 -99.9 -99.9  99.0  786.9  -4.1 
2011-01-06 04:45 -99.9 -99.9  99.0  786.6  -4.1 
2011-01-06 05:15 -99.9 -99.9  99.0  786.7  -4.0 
2011-01-06 05:45 -99.9 -99.9  99.0  786.5  -3.9 
2011-01-06 06:15 -99.9 -99.9  99.0  786.8  -3.7 
2011-01-06 06:45 -99.9 -99.9  99.0  786.9  -3.5 
2011-01-06 07:15 -99.9 -99.9  99.0  786.9  -3.4 
2011-01-06 07:45 -99.9 -99.9  99.0  786.9  -3.5 
2011-01-06 08:15 -99.9 -99.9  99.0  787.1  -3.5 
2011-01-06 08:45 -99.9 -99.9  99.0  787.5  -3.3 
2011-01-06 09:15 -99.9 -99.9  99.0  787.4  -3.1 
2011-01-06 09:45 -99.9 -99.9  99.0  787.6  -3.0 
2011-01-06 10:15 -99.9 -99.9  99.0  787.9  -2.9 
2011-01-06 10:45 -99.9 -99.9  99.0  788.1  -2.6 
2011-01-06 11:15 -99.9 -99.9  99.0  788.0  -2.6 
2011-01-06 11:45 -99.9 -99.9  99.0  788.0  -2.5 
2011-01-06 12:15 -99.9 -99.9  99.0  787.6  -2.3 
2011-01-06 12:45 -99.9 -99.9  99.0  787.0  -2.1 
2011-01-06 13:15 -99.9 -99.9  99.0  787.1  -2.0 
2011-01-06 13:45 -99.9 -99.9  99.0  786.9  -2.0 
2011-01-06 14:15 -99.9 -99.9  99.0  786.8  -1.9 
2011-01-06 14:45 -99.9 -99.9  99.0  786.8  -1.7 
2011-01-06 15:15 -99.9 -99.9  99.0  786.4  -1.5 
2011-01-06 15:45 -99.9 -99.9  99.0  786.6  -1.3 
2011-01-06 16:15 -99.9 -99.9  99.0  786.3  -1.1 
2011-01-06 16:45 -99.9 -99.9  99.0  786.6  -1.0 
2011-01-06 17:15 -99.9 -99.9  99.0  787.2  -1.0 
2011-01-06 17:45 -99.9 -99.9  99.0  787.3  -0.9 
2011-01-06 18:15 -99.9 -99.9  99.0  787.5  -0.9 
2011-01-06 18:45 -99.9 -99.9  99.0  787.1  -0.9 
2011-01-06 19:15 -99.9 -99.9  99.0  786.9  -0.8 
2011-01-06 19:45 -99.9 -99.9  99.0  787.4  -0.7 
2011-01-06 20:15 -99.9 -99.9  99.0  787.5  -0.6 
2011-01-06 20:45 -99.9 -99.9  99.0  787.4  -0.6 
2011-01-06 21:15 -99.9 -99.9  99.0  787.5  -0.5 
2011-01-06 21:45 -99.9 -99.9  99.0  788.2  -0.4 
2011-01-06 22:15 -99.9 -99.9  99.0  788.0  -0.3 
2011-01-06 22:45 -99.9 -99.9  99.0  788.3  -0.2 
2011-01-06 23:15 -99.9 -99.9  99.0  788.4  -0.1 
2011-01-06 23:45 -99.9 -99.9  99.0  788.6  -0.1 
2011-01-07 00:15 -99.9 -99.9  99.0  788.4  -0.1 
2011-01-07 00:45 -99.9 -99.9  99.0  788.0  -0.1 
2011-01-07 01:15 -99.9 -99.9  99.0  787.9   0.0 
2011-01-07 01:45 -99.9 -99.9  99.0  788.2   0.0 
2011-01-07 02:15 -99.9 -99.9  99.0  788.4   0.1 
2011-01-07 02:45 -99.9 -99.9  99.0  788.7   0.1 
2011-01-07 03:15 -99.9 -99.9  99.0  789.1   0.2 
2011-01-07 03:45 -99.9 -99.9  99.0  789.3   0.3 
2011-01-07 04:15 -99.9 -99.9  99.0  789.3   0.3 
2011-01-07 04:45 -99.9 -99.9  99.0  789.1   0.3 
2011-01-07 05:15 -99.9 -99.9  99.0  789.3   0.4 
2011-01-07 05:45 -99.9 -99.9  99.0  789.6   0.4 
2011-01-07 06:15 -99.9 -99.9  99.0  789.4   0.4 
2011-01-07 06:45 -99.9 -99.9  99.0  789.8   0.4 
2011-01-07 07:15 -99.9 -99.9  99.0  789.9   0.4 
